,,,,Q01,,,,Q02,,,,Q03,,,,Q04,,,,Q05,,,,Q06,,,,Q07,,,,Q08,,Q09,,Q10,,,,Q11,
,,,,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1],[2],[1]=,[2]=,[1],[2],[3],[4],[],
1,01YU,417,14:54:45,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,56
2,02HU,417,14:57:25,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,4,56
3,03KU,417,14:57:19,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,6,58
4,04AK,417,14:53:24,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,6,52
5,05AK,417,14:55:2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,62
6,06TK,417,14:55:44,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,6,54
7,07MS,417,15:1:7,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,6,58
8,08TT,417,14:57:26,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,0,6,48
9,09TN,417,14:53:8,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,5,53
10,10AY,417,14:54:20,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2,6,48
11,11HW,417,14:57:38,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,52
