,,,,Q01,,,,Q02,,,,Q03,,,Q04,Q05,,,,Q06,,,,Q07,,,,Q08,,,,Q09,,,,Q10,,,,Q11,,,,,,,
,,,,[1]=,[2]=,[3]=,[4]=,[1]傾き,y切片=,[2]傾き,y切片=,[3]傾き,y切片=,[4]傾き,y切片=,[1],[2],[3],[],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],,,,,
1,01YU,424,13:59:17,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,72,,,,
2,02HU,NotYet,,,,,,0,2,0,0,,,,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,20,,,,
3,03KU,424,14:2:19,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,,,,,,,,,,,,43,,,,
4,04AK,424,14:2:47,2,2,0,0,,,,,2,2,2,2,1,1,1,0,2,0,0,2,1,0,2,2,,,,,,,,,,,,,,,,24,,,,
5,05AK,424,13:59:40,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,,,,
6,06TK,424,14:2:56,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,1,1,0,2,0,2,2,2,,,,,,,,46,,,,
7,07MS,424,14:1:42,2,2,2,2,0,0,0,0,2,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,30,,,,
8,08TT,424,14:0:20,2,2,2,0,2,2,2,0,2,2,2,,,,,,2,2,0,0,1,2,2,2,2,2,2,2,0,0,0,0,2,1,1,2,,,,43,,,,
9,09TN,424,14:2:20,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,68,,,,
10,10AY,424,13:59:29,2,2,2,0,2,0,2,2,2,2,0,2,,,,,2,0,0,2,1,1,0,0,2,2,2,2,2,2,2,2,0,0,0,0,,,,40,,,,
11,11HW,424,14:12:39,2,2,0,0,2,2,2,0,2,2,0,2,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,,,,,,,,25,,,,∂
