,,,Q01,,,,Q02,,,,Q03,,,Q04,Q05,,,,Q06,,,,Q07,,,,Q08,,,,Q09,,,,Q10,,,,Q11,,,計,%
,,,[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3]
1,01YU,未提出=1,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,72,92
2,02HU,未提出=7,,,,,0,2,0,0,,,,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,20,26
3,03KU,未提出=3,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,,,,,,,,,,,,43,55
4,04AK,未提出=5,2,2,0,0,,,,,2,2,2,2,1,1,1,0,2,0,0,2,1,0,2,2,,,,,,,,,,,,,,,,24,31
5,05AK,完了=16:18:41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,99
6,06TK,未提出=2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,1,1,0,2,0,2,2,2,,,,,,,,46,59
7,07MS,未提出=6,2,2,2,2,0,0,0,0,2,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,30,38
8,08TT,未提出=3,2,2,2,0,2,2,2,0,2,2,2,,,,,,2,2,0,0,1,2,2,2,2,2,2,2,0,0,0,0,2,1,1,2,,,,43,55
9,09TN,完了=15:59:2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,68,87
10,10AY,未提出=2,2,2,2,0,2,0,2,2,2,2,0,2,,,,,2,0,0,2,1,1,0,0,2,2,2,2,2,2,2,2,0,0,0,0,,,,40,51
11,11HW,未提出=2,2,2,0,0,2,2,2,0,2,2,0,2,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,,,,,,,,25,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平均,57
