,,,Q01,,Q02,,,,Q03,,,Q04,,,Q05,,,,,,,,Q06,,,Q08,,Q09,,,,Q10,,,Q11,,,,計,%
,,,[1],[2],[1],[2],[3],[4],[1],[2],[3],[1],[2],[3],[1],[2],[3],[4],[5],[6],[7],[8],[1],[2],[3],[1],[2],[1],[2],[3],[4],[1],[2],[3],[1],[2],[3],[4]
1,01YU,完了=16:4:6,0,2,1,2,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,53,83
2,02HU,未提出=3,2,1,2,2,0,0,2,2,2,0,2,0,1,1,1,0,0,1,0,0,,,,2,0,2,2,2,2,,,,,,,,29,45
3,03KU,完了=16:6:34,2,1,2,2,0,0,2,2,2,0,2,0,1,1,1,0,1,1,0,0,2,2,2,0,0,2,2,2,2,0,0,0,2,2,2,2,42,66
4,04AK,未提出=1,,,0,2,0,0,2,0,2,2,2,2,1,0,1,0,0,1,0,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,0,39,61
5,05AK,完了=16:4:59,2,1,2,2,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,59,92
6,06TK,未提出=1,2,1,2,2,0,0,2,2,2,0,2,0,1,1,1,0,0,1,0,0,2,2,2,0,0,2,2,2,2,,,,2,2,2,2,41,64
7,07MS,完了=16:13:19,2,2,2,2,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,54,84
8,08TT,完了=16:8:24,2,2,1,2,0,0,2,2,2,0,0,2,0,1,1,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,52,81
9,09TN,完了=16:5:12,2,1,0,2,0,0,2,2,2,0,0,2,1,1,0,1,1,1,1,1,2,2,2,2,2,2,2,0,0,2,2,0,0,2,2,2,44,69
10,10AY,未提出=1,0,0,,,,,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,39,61
11,11HW,完了=16:6:29,0,0,0,0,2,2,2,2,2,0,1,1,1,1,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,2,2,30,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平均,68
