,,,Q02,,,Q03,,,,Q04,,Q06,,,,Q07,,Q08,,,,Q09,,Q10,,計,%
,,,[1],[2],[3],[1],[2],[3],[4],[1],[2],[1],[2],[3],[4],[1],[2],[1],[2],[3],[4],[1],[2],[1],[2]
1,01YU,完了=051515:48:23,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,,2,2,2,2,2,38,83
2,02HU,未提出=1,0,2,0,2,2,0,0,2,2,2,0,0,0,0,0,,,,,2,0,2,2,18,39
3,03KU,未提出=1,0,2,0,2,2,2,0,2,2,2,0,0,2,2,0,,,,,2,2,2,0,24,52
4,04AK,未提出=1,2,2,2,2,0,2,0,0,2,2,0,0,0,0,0,,,,,2,2,2,2,22,48
5,05AK,未提出=1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,,,,,2,2,2,2,36,78
6,06TK,未提出=1,0,2,0,2,2,2,0,2,2,2,0,0,2,2,0,,,,,0,2,0,2,22,48
7,07MS,未提出=3,0,0,2,0,2,0,2,2,2,,,,,,,,,,,1,2,,,13,28
8,08TT,未提出=1,2,2,2,0,2,0,2,0,2,2,0,2,2,2,2,,,,,2,0,0,0,24,52
9,09TN,未提出=1,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,,,,,0,2,0,2,30,65
10,10AY,未提出=1,2,2,2,2,2,2,2,0,0,2,0,0,2,2,0,,,,,0,2,0,0,22,48
11,11HW,未提出=1,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,,,,,0,0,0,0,10,22
,,,,,,,,,,,,,,,,,,,,,,,,,,平均,51
