,,,Q01,,Q02,,,,Q03,,,,Q04,,Q05,,Q06,,Q07,,,,Q08,,計,%
,,,[1],[2],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[1],[2],[1],[2],[1],[2],[3],[4],[1],[2]
1,01YU,未提出=8,,,,,,,,,,,,,,,,,,,,,,,0,0
2,02HU,完了=052916:5:53,0,0,2,2,2,2,2,2,0,2,2,2,1,0,0,0,0,0,0,0,2,2,23,52
3,03KU,完了=052916:8:51,0,0,2,2,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,2,2,24,55
4,04AK,完了=052916:10:9,0,0,2,2,2,2,2,2,2,0,2,0,0,0,0,0,2,0,1,0,2,2,23,52
5,05AK,完了=052916:5:20,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,40,91
6,06TK,完了=052916:8:48,0,0,2,2,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,2,2,24,55
7,07MS,完了=052916:13:19,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,2,2,38,86
8,08TT,完了=052916:8:33,2,2,2,2,2,2,2,0,2,0,0,0,2,0,2,2,2,2,0,0,2,2,30,68
9,09TN,完了=052916:2:51,2,2,0,2,2,1,0,0,1,0,2,2,2,0,0,0,2,2,2,2,2,2,28,64
10,10AY,完了=052916:3:53,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,14,32
11,11HW,完了=052916:4:46,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,12,27
,,,,,,,,,,,,,,,,,,,,,,,,,平均,53
