,,,Q01,,Q02,,,Q03,,,,Q04,,,,,,Q05,,,,Q06,Q07,,,,Q08,,,,,計,%
,,,[1],[2],[1],[2],[2],[1],[2],[3],[4],[1],[2],[3],[4],[5],[6],[2],[3],[4],[5],[],[1],[2],[3],[4],[1],[2],[3],[4],[5]
1,01YU,完了=060516:11:33,2,2,2,2,2,0,2,0,0,2,0,2,2,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,47,81
2,02HU,完了=060515:50:59,2,0,0,2,0,0,0,0,0,2,2,0,2,0,2,1,2,2,2,2,2,0,0,0,2,2,0,0,2,29,50
3,03KU,完了=060516:4:49,2,0,0,2,2,2,2,0,2,2,2,0,2,0,2,2,2,2,2,2,2,1,1,1,2,2,0,0,2,41,71
4,04AK,完了=060516:1:11,2,0,0,2,2,2,2,0,2,2,2,0,0,0,0,2,2,2,0,2,2,1,0,0,2,2,0,0,2,33,57
5,05AK,完了=060516:19:57,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,54,93
6,06TK,完了=060516:5:11,2,0,0,2,2,0,0,0,0,2,2,0,2,0,0,1,2,2,2,2,2,1,1,2,2,2,0,0,2,33,57
7,07MS,未提出=1,2,0,0,2,0,2,0,0,0,2,2,2,2,0,0,2,2,2,2,,2,2,2,2,2,2,2,2,0,38,66
8,08TT,完了=060516:16:58,2,0,0,2,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,1,0,0,2,2,0,0,0,35,60
9,09TN,未提出=1,2,0,2,2,0,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,,,,,2,2,0,0,2,36,62
10,10AY,完了=060515:46:8,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,0,1,0,0,0,0,0,15,26
11,11HW,未提出=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平均,57
