,,,Q01,,Q02,Q03,,Q04,,Q05,,Q06,Q07,,Q08,,,,,,計,%
,,,[1],[2],[],[1],[2],[1],[2],[1],[2],[],[1],[2],[1],[2],[3],[4],[5],[6],,
1,01YU,完了=061215:24:9,2,2,0,2,2,2,2,2,2,2,1,,,,,,,,19,59
2,02HU,完了=061215:21:15,0,0,4,0,2,2,2,2,0,0,0,,,,,,,,12,38
3,03KU,完了=061215:54:23,0,2,4,0,2,2,2,2,2,2,1,,,,,,,,19,59
4,04AK,完了=061215:54:31,0,0,4,2,2,2,0,2,0,0,0,,,,,,,,12,38
5,05AK,完了=061215:50:9,2,2,4,2,2,2,2,2,2,2,1,,,,,,,,23,72
6,06TK,完了=061215:55:47,0,2,0,0,2,2,2,2,2,2,1,,,,,,,,15,47
7,07MS,未提出=1,2,2,4,2,0,2,2,2,2,2,,,,,,,,,20,63
8,08TT,完了=061215:50:42,2,2,0,2,2,2,2,2,0,0,0,,,,,,,,14,44
9,09TN,完了=061215:25:26,2,2,4,2,2,2,2,2,2,2,0,,,,,,,,22,69
10,10AY,未提出=1,2,2,4,0,0,0,0,2,0,0,,,,,,,,,10,31
11,11HW,未提出=7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,平均,47
