,,,Q01,,Q02,,,Q03,,Q04,,,,Q05,,Q06,,Q07,,Q08,,計,%
,,,[1],[2],[1],[2],[3],[1],[2],[1],[2],[3],[4],[1],[2],[1],[2],[1],[2],[1],[2],,
1,01YU,未提出=2,,,,,,,,,,,,,,,,,,,,0,0
2,02HU,完了=061915:34:44,0,0,2,2,0,0,0,2,2,2,2,0,4,0,4,0,0,0,0,20,32
3,03KU,完了=061915:44:17,0,0,2,2,0,4,0,2,2,2,2,0,0,0,0,0,0,4,0,20,32
4,04AK,完了=061915:32:31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,13
5,05AK,完了=061915:41:3,0,4,2,2,0,4,0,2,2,2,2,0,0,0,4,0,0,0,0,24,39
6,06TK,完了=061915:20:55,4,2,0,0,0,4,0,2,2,2,0,4,4,4,0,0,0,4,0,32,52
7,07MS,完了=061915:36:25,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,12,19
8,08TT,完了=061916:14:37,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
9,09TN,完了=061915:24:4,0,4,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,12,19
10,10AY,完了=061915:23:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6
11,11HW,未提出=2,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,平均,20
