,,,Q01,,Q02,,Q03,,,,Q04,,,,Q05,,,,Q06,Q07,,,,Q08,,,計,%
,,,[1],[2],[1],[2],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[],[1],[2],[3],[4],[1],[2],[3]
1,01YU,完了=070315:43:55,0,4,4,4,2,2,2,0,2,2,0,2,2,2,2,0,4,2,2,2,2,1,2,2,47,81
2,02HU,完了=070315:47:53,0,2,0,0,2,2,0,2,0,2,1,0,2,0,2,0,0,2,2,0,0,0,0,2,21,36
3,03KU,完了=070315:46:48,0,0,4,4,2,2,2,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,21,36
4,04AK,完了=070315:48:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,7
5,05AK,完了=070315:44:19,4,4,4,4,2,2,2,2,2,2,1,1,2,2,2,0,4,2,2,2,2,1,2,2,53,91
6,06TK,完了=070315:48:3,0,0,4,4,2,2,2,0,0,2,0,0,0,0,0,0,4,2,2,0,0,1,0,2,27,47
7,07MS,完了=070316:26:9,4,4,4,4,2,2,2,2,2,2,0,2,2,2,2,2,4,2,2,2,2,1,0,2,53,91
8,08TT,完了=070315:49:6,0,0,0,0,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,2,0,1,0,2,23,40
9,09TN,完了=070315:45:30,4,4,4,4,2,2,2,2,2,2,0,2,2,2,2,0,4,2,2,2,0,1,0,2,49,84
10,10AY,未提出=1,0,0,,,2,2,2,2,0,0,0,1,0,0,0,0,4,2,2,2,0,2,0,2,23,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,平均,55
